id,正體,簡體,聲母,韻母,聲調,詞例,讀音說明,備註（含义）,声母音标,韵母音标
4421,曳,曳,,i,6,拖曳,,,,i
4422,曳,曳,,ih,8,搖曳,,,,iʔ
4423,槓,杠,g,an,5,單槓,,,k,aŋ
4424,淇,淇,q,i,2,冰淇淋,,,tɕʰ,i
4425,痹,痹,b,i,5,麻痹,,,p,i
4426,竇,窦,t,eu,6,鼻竇,,,tʰ,əɯ
4427,訥,讷,n,eh,8,木訥,,,n,əʔ
4428,贄,贽,zh,r,5,初次見面時的禮物,,,tʂ,ʅ
4429,躇,躇,ch,v,2,躊躇滿志,,,tʂʰ,ʋ
4430,迦,迦,g,a,1,迦太基,譯音,,k,a
4431,遽,遽,q,y,6,急遽,,,tɕʰ,y
4432,魛,鱽,d,o,1,魚名,,,t,ɔ
4433,卅,卅,s,aeh,7,三十,,,s,ɛʔ
4434,囤,囤,t,en,6,糧囤,,,tʰ,əŋ
4435,嬴,嬴,,ien,2,嬴政,,,,iəŋ
4436,焓,焓,h,un,2,物理名詞,,,x,ʊ̃
4437,煸,煸,b,in,1,一種烹飪方式,,,p,ĩ
4438,燮,燮,x,ih,7,調和,,,ɕ,iʔ
4439,瑩,莹,,ien,2,晶瑩,,,,iəŋ
4440,砰,砰,p,on,1,砰然,,,pʰ,ɔŋ
4441,稭,秸,g,ae,1,麥稭,,,k,ɛ
4442,箐,箐,j,ien,1,一種竹子,,,tɕ,iəŋ
4443,箐,箐,q,ien,5,大竹林或樹木叢生的山谷,,,tɕʰ,iəŋ
4444,翟,翟,ch,eh,8,姓氏,,,tʂʰ,əʔ
4445,翟,翟,t,ieh,8,長尾山雉,,,tʰ,iəʔ
4446,胭,胭,,in,1,胭脂,,,,ĩ
4447,舀,舀,,io,3,舀水,,,,iɔ
4448,舐,舐,sh,r,6,舐犢情深,,,ʂ,ʅ
4450,葆,葆,b,o,3,葆光,,,p,ɔ
4451,蛟,蛟,g,o,1,蛟龍,白讀,,k,ɔ
4452,蛟,蛟,j,io,1,,文讀,,tɕ,iɔ
4453,跐,跐,c,z,1,腳下滑動,,,tsʰ,ɿ
4454,跐,跐,c,z,3,踩踏,,,tsʰ,ɿ
4455,踴,踊,,ion,3,踴躍,,,,iɔŋ
4456,雉,雉,ch,r,6,,,,tʂʰ,ʅ
4457,黯,黯,ng,aen,3,,本音,,ŋ,ɛ̃
4458,哆,哆,d,u,1,擬聲詞,,,t,ʊ
4459,弁,弁,p,in,6,馬弁,,,pʰ,ĩ
4460,弁,弁,p,un,2,歡樂，古語,,,pʰ,ʊ̃
4461,弋,弋,,ieh,8,遊弋,,,,iəʔ
4462,彷,彷,p,an,2,彷徨,,,pʰ,aŋ
4463,彷,彷,f,an,3,彷彿,,,f,aŋ
4464,悵,怅,ch,an,5,惆悵,,,tʂʰ,aŋ
4465,檜,桧,g,uei,5,樹名,,,k,uəi
4466,檜,桧,h,uei,6,人名用字,,,x,uəi
4467,涇,泾,j,ien,1,涇渭分明,,,tɕ,iəŋ
4468,渝,渝,,y,2,不渝,,,,y
4469,漱,漱,sh,v,5,漱嘴,,,ʂ,ʋ
4470,灝,灏,h,o,6,,,,x,ɔ
4471,瘓,痪,h,un,6,癱瘓,,,x,ʊ̃
4472,箔,箔,p,ah,8,金箔,,,pʰ,aʔ
4473,芙,芙,f,v,2,芙蓉,,,f,ʋ
4474,芥,芥,g,ae,5,芥菜,,,k,ɛ
4475,螢,萤,,ien,2,螢火蟲,,,,iəŋ
4476,觥,觥,g,on,1,觥籌交錯,,,k,ɔŋ
4477,顱,颅,l,v,2,頭顱,,,l,ʋ
4478,嗆,呛,q,ian,1,,,,tɕʰ,iaŋ
4479,嘖,啧,z,eh,7,擬聲詞,,,ts,əʔ
4480,孽,孽,n,ih,8,,,,n,iʔ
4481,弈,弈,,ieh,8,,,,,iəʔ
4482,惋,惋,,un,3,,,,,ʊ̃
4483,惦,惦,d,in,5,惦記,,,t,ĩ
4484,淞,淞,s,on,1,,,,s,ɔŋ
4485,漩,漩,x,iun,2,漩渦,,,ɕ,iʊ̃
4486,犀,犀,x,i,1,犀牛,,,ɕ,i
4487,珮,佩,p,ei,5,,,,pʰ,əi
4488,眩,眩,x,iun,6,,,,ɕ,iʊ̃
4489,簍,篓,l,eu,3,竹簍,,,l,əɯ
4490,繽,缤,b,ien,1,繽紛,,,p,iəŋ
4491,腋,腋,,ieh,8,,,,,iəʔ
4492,腑,腑,f,v,3,,,,f,ʋ
4493,萃,萃,c,uei,6,,,,tsʰ,uəi
4494,袒,袒,t,aen,3,,,,tʰ,ɛ̃
4495,隅,隅,,y,2,,,,,y
4496,韭,韭,j,ieu,3,韭菜,,,tɕ,iəɯ
4497,髖,髋,k,un,1,髖骨,,,kʰ,ʊ̃
4498,黝,黝,,ieu,3,,,,,iəɯ
4499,劊,刽,g,uei,5,,,,k,uəi
4500,吠,吠,f,ei,6,,,,f,əi
4501,嘮,唠,l,o,2,,,,l,ɔ
4502,惴,惴,zh,uei,5,,,,tʂ,uəi
4503,攆,撵,n,in,3,,,,n,ĩ
4504,斛,斛,h,oh,8,,,,x,ɔʔ
4505,暉,晖,h,uei,1,,,,x,uəi
4506,毗,毗,p,i,2,毗鄰,,,pʰ,i
4507,渲,渲,x,iun,5,,,,ɕ,iʊ̃
4508,溮,浉,sh,r,1,,,,ʂ,ʅ
4509,炙,炙,zh,eh,7,,,,tʂ,əʔ
4510,燎,燎,l,io,2,,,,l,iɔ
4511,瓘,瓘,g,un,5,,,,k,ʊ̃
4512,矗,矗,ch,oh,7,,,,tʂʰ,ɔʔ
4513,稷,稷,j,ieh,7,,,,tɕ,iəʔ
4514,筠,筠,,yen,2,,,,,yəŋ
4515,粽,粽,z,on,5,粽子,,,ts,ɔŋ
4516,翬,翚,h,uei,1,,,,x,uəi
4517,臆,臆,,ieh,7,臆測，直抒胸臆,,,,iəʔ
4518,茁,茁,zh,uh,7,,,,tʂ,ʊʔ
4519,茴,茴,h,uei,2,茴香,,,x,uəi
4520,菴,庵,,un,1,,,,,ʊ̃
4521,蒿,蒿,h,o,1,茼蒿,,,x,ɔ
4522,貽,贻,,i,2,,,,,i
4523,蹠,跖,zh,eh,7,,,,tʂ,əʔ
4524,酉,酉,,ieu,3,,,,,iəɯ
4525,黍,黍,sh,v,3,,,,ʂ,ʋ
4526,仕,仕,sh,r,6,仕女,,,ʂ,ʅ
4527,仕,仕,ch,r,6,,又音,,tʂʰ,ʅ
4528,伶,伶,l,ien,2,,,,l,iəŋ
4529,卯,卯,m,o,3,卯時,,,m,ɔ
4530,唬,唬,h,v,3,嚇唬,,,x,ʋ
4531,噫,噫,ng,ae,5,,,吃飽後，胃裡的氣體因阻鬱而上升，並且發出聲音,ŋ,ɛ
4532,噫,噫,,i,1,,,嘆詞,,i
4533,巒,峦,l,un,2,,,,l,ʊ̃
4534,彊,强,q,ian,2,同“強”,,,tɕʰ,iaŋ
4535,彊,强,q,ian,3,同“強”,,,tɕʰ,iaŋ
4536,彊,强,q,ian,6,同“強”,,,tɕʰ,iaŋ
4537,慟,恸,t,on,6,,,,tʰ,ɔŋ
4538,曨,昽,l,on,2,,,,l,ɔŋ
4539,橄,橄,g,un,3,橄欖,,,k,ʊ̃
4540,檯,台,t,ae,2,寫字檯，檯燈,,,tʰ,ɛ
4541,殉,殉,q,yen,6,,,,tɕʰ,yəŋ
4542,沅,沅,,iun,2,,,,,iʊ̃
4543,溥,溥,p,v,3,,,,pʰ,ʋ
4544,漾,漾,,ian,6,,,,,iaŋ
4545,畦,畦,q,i,2,,,,tɕʰ,i
4546,癟,瘪,b,ih,7,乾癟,,,p,iʔ
4547,眈,眈,d,un,1,,,,t,ʊ̃
4548,磊,磊,l,uei,3,磊落,,,l,uəi
4549,繹,绎,,ieh,8,,,,,iəʔ
4550,胱,胱,g,uan,1,膀胱,,,k,uaŋ
4551,蟈,蝈,g,oh,7,蟈蟈,,,k,ɔʔ
4552,跺,跺,d,u,5,跺腳,,,t,ʊ
4553,鍬,锹,q,io,1,鐵鍬,,,tɕʰ,iɔ
4554,鐺,铛,d,an,1,鈴鐺,,,t,aŋ
4555,鐺,铛,ch,en,1,平底淺鍋,,,tʂʰ,əŋ
4556,馭,驭,,y,6,,,,,y
4557,黷,黩,t,oh,8,,,,tʰ,ɔʔ
4558,么,幺,,io,1,,,,,iɔ
4559,佯,佯,,ian,2,,,,,iaŋ
4560,剃,剃,t,i,5,剃頭,,,tʰ,i
4561,剄,刭,j,ien,3,,,,tɕ,iəŋ
4562,咆,咆,p,o,2,咆哮,,,pʰ,ɔ
4563,懦,懦,n,u,6,,,,n,ʊ
4564,懨,恹,,in,1,,,,,ĩ
4565,揌,揌,s,ae,1,填滿,,,s,ɛ
4566,撿,捡,j,in,3,,,,tɕ,ĩ
4567,梓,梓,z,z,3,,,,ts,ɿ
4568,涂,涂,t,v,2,,,,tʰ,ʋ
4569,漉,漉,l,oh,8,,,撈取,l,ɔʔ
4570,濘,泞,n,ien,6,,,,n,iəŋ
4571,濛,蒙,m,on,2,,,,m,ɔŋ
4572,瀏,浏,l,ieu,2,,,,l,iəɯ
4573,痞,痞,p,i,3,,,,pʰ,i
4574,盅,盅,zh,on,1,,,,tʂ,ɔŋ
4575,簦,簦,d,en,1,,,,t,əŋ
4576,纂,纂,z,un,3,,,,ts,ʊ̃
4577,虔,虔,q,in,2,,,,tɕʰ,ĩ
4578,諢,诨,h,uen,6,,,,x,uəŋ
4579,驀,蓦,m,oh,8,,,,m,ɔʔ
4580,倭,倭,,u,1,日本,,,,ʊ
4581,倭,倭,,u,3,倭墮髻，一種髮式,,,,ʊ
4582,倭,倭,v,ei,1,倭遲，迂迴遙遠的樣子,,,ʋ,əi
4583,冼,冼,x,in,3,姓氏,,,ɕ,ĩ
4584,几,几,j,i,3,茶几,,,tɕ,i
4585,圩,圩,v,ei,2,圩堤,,,ʋ,əi
4586,圩,圩,x,y,1,集市,,,ɕ,y
4587,壬,壬,r,en,2,,,,ɻ,əŋ
4588,拽,拽,,ih,8,拖拽,,,,iʔ
4589,拽,拽,zh,uae,5,拉,,,tʂ,uɛ
4590,掐,掐,k,aeh,7,掐黃花頭,,,kʰ,ɛʔ
4591,昶,昶,ch,an,3,,,,tʂʰ,aŋ
4592,榷,榷,q,iah,7,,文讀,,tɕʰ,iaʔ
4593,榷,榷,k,ah,7,,白讀,,kʰ,aʔ
4594,溺,溺,n,ieh,8,,,,n,iəʔ
4595,濂,濂,l,in,2,,,,l,ĩ
4596,猥,猥,v,ei,3,,,,ʋ,əi
4597,砷,砷,sh,en,1,,,化學元素,ʂ,əŋ
4598,罃,罃,,ien,1,,,,,iəŋ
4599,罃,罃,ng,en,1,,,,ŋ,əŋ
4600,薊,蓟,j,i,5,,,,tɕ,i
4601,蟆,蟆,m,a,2,蝦蟆,,,m,a
4602,蠡,蠡,l,i,2,用瓠瓜做成的水瓢,,,l,i
4603,蠡,蠡,l,i,3,蟲子蛀食木頭,,,l,i
4604,贅,赘,zh,uei,5,,,,tʂ,uəi
4605,躑,踯,ch,eh,8,,,,tʂʰ,əʔ
4606,鉅,巨,q,y,6,,,,tɕʰ,y
4607,佬,佬,l,o,3,美國佬,,,l,ɔ
4608,兀,兀,ng,eh,8,兀的,,,ŋ,əʔ
4609,兀,兀,v,eh,8,,又音,,ʋ,əʔ
4610,嘹,嘹,l,io,2,,,,l,iɔ
4611,塾,塾,sh,oh,8,,,,ʂ,ɔʔ
4612,奐,奂,h,un,5,,,,x,ʊ̃
4613,戟,戟,j,ieh,7,,,,tɕ,iəʔ
4614,掣,掣,ch,r,5,,,,tʂʰ,ʅ
4615,掣,掣,ch,ih,7,,又音,,tʂʰ,iʔ
4616,擎,擎,q,ien,2,,,,tɕʰ,iəŋ
4617,棻,棻,f,en,1,,,,f,əŋ
4618,樵,樵,q,io,2,,,,tɕʰ,iɔ
4619,漚,沤,ng,eu,1,,古漢語用音,水中浮泡,ŋ,əɯ
4620,漚,沤,ng,eu,5,,,水中浸泡,ŋ,əɯ
4621,灸,灸,j,ieu,3,,,,tɕ,iəɯ
4622,煨,煨,v,ei,1,,,,ʋ,əi
4623,盔,盔,k,uei,1,,,,kʰ,uəi
4624,矇,蒙,m,on,2,,,,m,ɔŋ
4625,碴,碴,zh,a,1,,,,tʂ,a
4626,繕,缮,sh,in,6,,,,ʂ,ĩ
4627,臀,臀,t,en,2,,,,tʰ,əŋ
4628,芊,芊,q,in,1,,,,tɕʰ,ĩ
4629,芸,芸,,yen,2,,,,,yəŋ
4630,荼,荼,t,v,2,荼毒,,,tʰ,ʋ
4631,荼,荼,sh,v,1,玉板,,,ʂ,ʋ
4632,藕,藕,ng,eu,3,,,,ŋ,əɯ
4633,褒,褒,b,o,1,,,,p,ɔ
4634,覃,覃,t,un,2,,,,tʰ,ʊ̃
4635,覬,觊,j,i,5,,,,tɕ,i
4636,跼,局,q,ioh,8,,,,tɕʰ,iɔʔ
4637,蹂,蹂,r,eu,2,,,,ɻ,əɯ
4638,蹭,蹭,c,en,5,,,,tsʰ,əŋ
4639,逍,逍,x,io,1,,,,ɕ,iɔ
4640,鍺,锗,zh,a,3,,,金屬元素,tʂ,a
4641,鍘,铡,ch,aeh,8,,,,tʂʰ,ɛʔ
4642,鐐,镣,l,io,2,,,,l,iɔ
4643,鐐,镣,l,io,6,,又音,,l,iɔ
4644,骸,骸,h,ae,2,,,,x,ɛ
4645,鰾,鳔,p,io,6,,,,pʰ,iɔ
4646,亢,亢,k,an,5,高傲,,,kʰ,aŋ
4647,亢,亢,g,an,1,脖子,,,k,aŋ
4648,吮,吮,sh,uen,6,,,,ʂ,uəŋ
4649,廄,厩,j,ieu,5,,,,tɕ,iəɯ
4650,廝,厮,s,z,1,,,,s,ɿ
4651,徇,徇,q,yen,6,,,,tɕʰ,yəŋ
4652,憊,惫,p,ei,6,,,,pʰ,əi
4653,搔,搔,s,o,1,,,,s,ɔ
4654,擄,掳,l,v,3,,,,l,ʋ
4655,擂,擂,l,uei,2,研磨，捶打,,,l,uəi
4656,擂,擂,l,uei,6,擂臺,,,l,uəi
4657,涸,涸,h,ah,8,,,,x,aʔ
4658,狩,狩,sh,eu,5,,,,ʂ,əɯ
4659,瓢,瓢,p,io,2,,,,pʰ,iɔ
4660,甦,苏,s,v,1,,,,s,ʋ
4661,窨,窨,,in,5,,,,,ĩ
4662,菖,菖,ch,an,1,,,,tʂʰ,aŋ
4663,酣,酣,h,un,1,,,,x,ʊ̃
4664,銫,铯,s,eh,7,,,金屬元素,s,əʔ
4665,鐲,镯,ch,uah,8,,,,tʂʰ,uaʔ
4666,髦,髦,m,o,2,,,,m,ɔ
4667,仝,仝,t,on,2,,,,tʰ,ɔŋ
4668,嘍,喽,l,eu,2,,,,l,əɯ
4669,恬,恬,t,in,2,,,,tʰ,ĩ
4670,恿,恿,,ion,3,,,,,iɔŋ
4671,憧,憧,ch,on,1,,,,tʂʰ,ɔŋ
4672,憖,慭,,in,6,,,,,ĩ
4673,捺,捺,n,aeh,8,,,,n,ɛʔ
4674,撂,撂,l,io,6,放下，丟棄,,,l,iɔ
4675,撻,挞,t,aeh,7,,,,tʰ,ɛʔ
4676,瀚,瀚,h,un,6,,,,x,ʊ̃
4677,灩,滟,,in,6,,,,,ĩ
4678,瑋,玮,v,ei,3,,,,ʋ,əi
4679,璞,璞,p,ah,7,,,,pʰ,aʔ
4680,甬,甬,,ion,3,,,,,iɔŋ
4681,瘀,瘀,,y,1,,,,,y
4682,睫,睫,j,ih,7,,,,tɕ,iʔ
4683,瞟,瞟,p,io,3,,,,pʰ,iɔ
4684,砑,砑,ng,a,6,強迫對方接受,,,ŋ,a
4685,縊,缢,,i,5,,,,,i
4686,菁,菁,j,ien,1,,,,tɕ,iəŋ
4687,蓑,蓑,s,u,1,,,,s,ʊ
4688,藐,藐,m,io,3,,,,m,iɔ
4689,詼,诙,h,uei,1,,,,x,uəi
4690,鉦,钲,zh,en,1,,,,tʂ,əŋ
4691,鐸,铎,t,ah,8,,,,tʰ,aʔ
4692,鑊,镬,h,uah,8,,,,x,uaʔ
4693,闌,阑,l,aen,2,,,,l,ɛ̃
4694,霹,霹,p,ieh,7,,,,pʰ,iəʔ
4695,髫,髫,t,io,2,,,,tʰ,iɔ
4696,倌,倌,g,un,1,,,,k,ʊ̃
4697,匡,匡,k,uan,1,,,,kʰ,uaŋ
4698,咎,咎,q,ieu,6,,,,tɕʰ,iəɯ
4699,咎,咎,g,o,1,大鼓,,,k,ɔ
4700,唁,唁,,in,6,,,,,ĩ
4701,哧,哧,ch,r,1,擬聲詞,,,tʂʰ,ʅ
4702,塈,塈,q,i,6,,,,tɕʰ,i
4703,塈,塈,x,i,5,,又音,,ɕ,i
4704,姥,姥,m,u,3,老婦,,,m,ʊ
4705,姥,姥,l,o,3,北方方言，外婆,,,l,ɔ
4706,孥,孥,n,v,2,,,,n,ʋ
4707,寔,寔,sh,eh,8,,,,ʂ,əʔ
4708,崛,崛,q,yeh,8,,,,tɕʰ,yəʔ
4709,惘,惘,v,an,3,,,,ʋ,aŋ
4710,掇,掇,d,uh,7,,,,t,ʊʔ
4711,沱,沱,t,u,2,,,,tʰ,ʊ
4712,淙,淙,c,on,2,,,,tsʰ,ɔŋ
4713,渙,涣,h,un,5,,,,x,ʊ̃
4714,盎,盎,ng,an,5,,,,ŋ,aŋ
4715,睬,睬,c,ae,3,,,,tsʰ,ɛ
4716,肄,肄,,i,6,,,,,i
4717,裴,裴,p,ei,2,,,,pʰ,əi
4718,裴,裴,p,i,2,,白讀,,pʰ,i
4719,裱,裱,b,io,3,,,,p,iɔ
4720,詣,诣,,i,6,,,,,i
4721,赭,赭,zh,a,3,,,,tʂ,a
4722,酈,郦,l,ieh,8,,,,l,iəʔ
4723,錚,铮,zh,en,1,,,,tʂ,əŋ
4724,黥,黥,q,ien,2,,,,tɕʰ,iəŋ
4725,偕,偕,h,ae,2,,,,x,ɛ
4726,冗,冗,r,on,3,,,,ɻ,ɔŋ
4727,卦,卦,g,ua,5,,,,k,ua
4728,哽,哽,g,en,3,,,,k,əŋ
4729,啄,啄,d,oh,7,啄木鳥,zhuah7的白讀,,t,ɔʔ
4730,啄,啄,zh,uah,7,,文讀,,tʂ,uaʔ
4731,嗩,唢,s,u,3,,,,s,ʊ
4732,坩,坩,g,un,1,,,,k,ʊ̃
4733,塹,堑,q,in,5,,,,tɕʰ,ĩ
4734,寰,寰,k,uaen,2,,,,kʰ,uɛ̃
4735,扦,扦,q,in,1,,,,tɕʰ,ĩ
4736,挎,挎,k,ua,5,,,,kʰ,ua
4737,捋,捋,l,uh,8,,,,l,ʊʔ
4738,杞,杞,q,i,3,,,,tɕʰ,i
4739,杞,杞,j,i,5,枸杞子,異讀,,tɕ,i
4740,桁,桁,x,ien,2,桁條,,,ɕ,iəŋ
4741,桁,桁,h,an,2,一種刑具,,,x,aŋ
4742,沐,沐,m,oh,8,,,,m,ɔʔ
4743,澮,浍,k,uae,5,田間水溝,,,kʰ,uɛ
4744,澮,浍,h,uei,6,澮河,,,x,uəi
4745,燁,烨,,ih,8,,,,,iʔ
4746,瑜,瑜,,y,2,,,,,y
4747,瘁,瘁,c,uei,6,,,,tsʰ,uəi
4748,硯,砚,n,in,6,,,,n,ĩ
4749,笠,笠,l,ieh,8,,,,l,iəʔ
4750,笞,笞,ch,r,1,,,,tʂʰ,ʅ
4751,簫,箫,x,io,1,,,,ɕ,iɔ
4752,紂,纣,ch,eu,6,,,,tʂʰ,əɯ
4753,翡,翡,f,ei,3,,,,f,əi
4754,脛,胫,j,ien,5,,,,tɕ,iəŋ
4755,苕,苕,t,io,2,,,,tʰ,iɔ
4756,萼,萼,ng,ah,8,,,,ŋ,aʔ
4757,豉,豉,sh,r,6,,,,ʂ,ʅ
4758,雰,雰,f,en,1,,,,f,əŋ
4759,鞅,鞅,,ian,1,,,,,iaŋ
4760,鞅,鞅,,ian,3,,又音,,,iaŋ
4761,鞅,鞅,,ian,5,,又音,,,iaŋ
4762,鬃,鬃,z,on,1,,,,ts,ɔŋ
4763,鴇,鸨,b,o,3,,,,p,ɔ
4764,黜,黜,ch,ueh,7,,,,tʂʰ,uə?
4765,兮,兮,x,i,1,,,,ɕ,i
4766,兮,兮,x,i,2,,本音,,ɕ,i
4767,咄,咄,d,eh,7,,,,t,əʔ
4768,墅,墅,sh,v,6,,,,ʂ,ʋ
4769,憫,悯,m,ien,3,,,,m,iəŋ
4770,掄,抡,l,en,2,,,,l,əŋ
4771,椎,椎,ch,uei,2,,,,tʂʰ,uəi
4772,椎,椎,zh,uei,1,,又音,,tʂ,uəi
4773,橘,橘,j,yeh,7,,,,tɕ,yəʔ
4774,淄,淄,zh,r,1,,,,tʂ,ʅ
4775,澦,滪,,y,6,,,,,y
4776,痙,痉,q,ien,6,,,,tɕʰ,iəŋ
4777,磧,碛,q,ieh,7,,,,tɕʰ,iəʔ
4778,穄,穄,j,i,5,穄子,,,tɕ,i
4779,穄,穄,j,i,1,蘆穄,,,tɕ,i
4780,薌,芗,x,ian,1,,,,ɕ,iaŋ
4781,蛀,蛀,zh,v,5,,,,tʂ,ʋ
4782,蝗,蝗,h,uan,2,,,,x,uaŋ
4783,誨,诲,h,uei,5,,,,x,uəi
4784,趴,趴,p,a,1,,,,pʰ,a
4785,躡,蹑,n,ih,8,,,,n,iʔ
4786,迢,迢,t,io,2,,,,tʰ,iɔ
4787,酗,酗,x,y,5,,,,ɕ,y
4788,釩,钒,f,aen,2,,,金屬元素,f,ɛ̃
4789,霆,霆,t,ien,2,,,,tʰ,iəŋ
4790,靛,靛,t,in,6,,,,tʰ,ĩ
4791,餑,饽,p,eh,8,,,,pʰ,əʔ
4792,駙,驸,f,v,6,,,,f,ʋ
4793,鵲,鹊,q,iah,7,,,,tɕʰ,iaʔ
4794,亙,亘,g,en,5,,,,k,əŋ
4795,儼,俨,,in,3,,,,,ĩ
4796,匍,匍,p,v,2,,,,pʰ,ʋ
4797,媛,媛,,iun,2,嬋媛,,,,iʊ̃
4798,媛,媛,,iun,6,美女,,,,iʊ̃
4799,幔,幔,m,un,6,,,,m,ʊ̃
4800,徨,徨,h,uan,2,,,,x,uaŋ
4801,慫,怂,s,on,3,,,,s,ɔŋ
4802,憬,憬,j,ien,3,,,,tɕ,iəŋ
4803,拗,拗,ng,o,3,折斷,,,ŋ,ɔ
4804,拗,拗,ng,o,5,拗口,,,ŋ,ɔ
4805,拗,拗,,ioh,7,抑悶,,,,iɔʔ
4806,暨,暨,j,i,5,,,,tɕ,i
4807,曦,曦,x,i,1,,,,ɕ,i
4808,桎,桎,zh,eh,7,,,,tʂ,əʔ
4809,榔,榔,l,an,2,,,,l,aŋ
4810,榻,榻,t,aeh,7,,,,tʰ,ɛʔ
4811,沽,沽,g,v,1,,,,k,ʋ
4812,瀘,泸,l,v,2,,,,l,ʋ
4813,狸,狸,l,i,2,,,,l,i
4814,琵,琵,p,i,2,,,,pʰ,i
4815,琶,琶,p,a,2,,,,pʰ,a
4816,瘍,疡,,ian,2,,,,,iaŋ
4817,皋,皋,g,o,1,,,,k,ɔ
4818,篙,篙,g,o,1,,,,k,ɔ
4819,粼,粼,l,ien,2,,,,l,iəŋ
4820,絳,绛,g,an,5,,,,k,aŋ
4821,纍,累,l,uei,2,,,,l,uəi
4822,翎,翎,l,ien,2,,,,l,iəŋ
4823,舔,舔,t,in,3,,,,tʰ,ĩ
4824,莠,莠,,ieu,3,,,,,iəɯ
4825,蛾,蛾,ng,u,2,,,,ŋ,ʊ
4826,衢,衢,q,y,2,,,,tɕʰ,y
4827,裊,袅,n,io,3,,,,n,iɔ
4828,貰,贳,sh,r,5,,,,ʂ,ʅ
4829,轍,辙,ch,ih,8,,,,tʂʰ,iʔ
4830,鎵,镓,g,a,1,,,金屬元素，符號Ga。,k,a
4831,鑷,镊,n,ih,8,,,,n,iʔ
4832,阡,阡,q,in,1,,,,tɕʰ,ĩ
4833,韁,缰,j,ian,1,,,,tɕ,iaŋ
4834,饃,馍,m,u,2,,,,m,ʊ
4835,骯,骯,ng,an,1,骯髒，髒亂,,,ŋ,aŋ
4836,骯,骯,k,an,3,骯髒，高亢,,,kʰ,aŋ
4837,齎,赍,j,i,1,,,,tɕ,i
4838,丐,丐,g,ae,5,,,,k,ɛ
4839,俸,俸,f,on,6,,,,f,ɔŋ
4840,嚀,咛,n,ien,2,,,,n,iəŋ
4841,扈,扈,h,v,6,,,,x,ʋ
4842,拮,拮,j,ih,7,,,,tɕ,iʔ
4843,掖,掖,,ieh,8,,,,,iəʔ
4844,搾,榨,zh,a,5,,,,tʂ,a
4845,晏,晏,ng,aen,5,,,,ŋ,ɛ̃
4846,暹,暹,x,in,1,,,,ɕ,ĩ
4847,棣,棣,t,i,6,,,,tʰ,i
4848,獰,狞,n,ien,2,,,,n,iəŋ
4849,痰,痰,t,aen,2,,,,tʰ,ɛ̃
4850,砩,砩,f,ei,5,,,,f,əi
4851,秫,秫,sh,ueh,8,,,,ʂ,uə?
4852,笆,笆,b,a,1,,,,p,a
4853,籤,签,q,in,1,,,,tɕʰ,ĩ
4854,羌,羌,q,ian,1,,,,tɕʰ,iaŋ
4855,蔫,蔫,,in,1,,,,,ĩ
4856,蘩,蘩,f,aen,2,,,,f,ɛ̃
4857,蟒,蟒,m,an,3,,,,m,aŋ
4858,蟬,蝉,ch,in,2,,,,tʂʰ,ĩ
4859,訕,讪,sh,aen,5,,,,ʂ,ɛ̃
4860,贍,赡,sh,in,6,,,,ʂ,ĩ
4861,郛,郛,f,v,1,,,,f,ʋ
4862,醪,醪,l,o,2,,,,l,ɔ
4863,饞,馋,sh,aen,2,,,,ʂ,ɛ̃
4864,鯕,鲯,q,i,2,,,,tɕʰ,i
4865,鵪,鹌,,un,1,,,,,ʊ̃
4866,剡,剡,,in,3,尖銳,,,,ĩ
4867,剡,剡,sh,in,6,地名,,,ʂ,ĩ
4868,叼,叼,d,io,1,,,,t,iɔ
4869,咦,咦,,i,2,,,,,i
4870,唄,呗,p,ae,6,歌唱,,,pʰ,ɛ
4871,唄,呗,b,ae,0,語氣詞,,,p,ɛ
4872,唑,唑,c,u,6,,,,tsʰ,ʊ
4873,坍,坍,t,aen,1,,,,tʰ,ɛ̃
4874,塢,坞,v,v,5,,,,ʋ,ʋ
4875,姽,姽,g,uei,3,,,,k,uəi
4876,彗,彗,h,uei,6,,,,x,uəi
4877,怦,怦,p,on,1,,,,pʰ,ɔŋ
4878,懣,懑,m,en,6,,,,m,əŋ
4879,抿,抿,m,ien,3,,,,m,iəŋ
4880,攣,挛,l,un,2,,,,l,ʊ̃
4881,杈,杈,ch,a,1,,,,tʂʰ,a
4882,棲,栖,q,i,1,,,,tɕʰ,i
4883,棲,栖,x,i,1,,又音,,ɕ,i
4884,淅,淅,x,ieh,7,,,,ɕ,iəʔ
4885,瑙,瑙,n,o,3,,,,n,ɔ
4886,癖,癖,p,ieh,7,,,,pʰ,iəʔ
4887,縈,萦,,ien,2,,,,,iəŋ
4888,臃,臃,,ion,1,,,,,iɔŋ
4889,訛,讹,ng,u,2,,,,ŋ,ʊ
4890,諦,谛,d,i,5,,,,t,i
4891,邃,邃,s,uei,5,,,,s,uəi
4892,陂,陂,b,ei,1,,,,p,əi
4893,陂,陂,p,i,2,黃陂，地名,,,pʰ,i
4894,陂,陂,p,u,1,陂陀,,,pʰ,ʊ
4895,靳,靳,j,ien,5,,,,tɕ,iəŋ
4896,鶯,莺,,ien,1,,,,,iəŋ
4897,伈,伈,x,ien,3,,,,ɕ,iəŋ
4898,僨,偾,f,en,5,,,,f,əŋ
4899,卌,卌,x,ieh,7,,,,ɕ,iəʔ
4900,啁,啁,zh,o,1,,,聲音雜亂細碎,tʂ,ɔ
