id,正體,簡體,聲母,韻母,聲調,詞例,讀音說明,備註（含义）,声母音标,韵母音标
218,做,做,z,u,5,做事,,,ts,ʊ
220,必,必,b,ieh,7,必要,,,p,iəʔ
221,戰,战,zh,in,5,戰爭,,,tʂ,ĩ
222,先,先,x,in,1,先後,,,ɕ,ĩ
223,則,则,z,eh,7,規則,,,ts,əʔ
224,任,任,r,en,6,任用,,,ɻ,əŋ
225,任,任,r,en,2,,,姓氏,ɻ,əŋ
226,取,取,q,y,3,取得,,,tɕʰ,y
227,據,据,j,y,5,據說,,,tɕ,y
228,回,回,h,uei,2,返回,,,x,uəi
229,回,回,k,uei,2,回子,huei2的又音,,kʰ,uəi
230,給,给,j,ieh,7,供給,,,tɕ,iəʔ
231,給,给,g,ei,5,,口語音,本字是“匃、匄”,k,əi
232,調,调,t,io,2,調節,,,tʰ,iɔ
233,調,调,d,io,5,音調,,,t,iɔ
234,調,调,t,io,6,調度，調頭,,,tʰ,iɔ
235,處,处,ch,v,3,處理,,,tʂʰ,ʋ
236,處,处,ch,v,5,處所,,,tʂʰ,ʋ
237,隊,队,d,uei,5,排隊,,,t,uəi
238,隊,队,d,y,5,,白讀,,t,y
239,隊,队,t,uei,6,,本音,,tʰ,uəi
240,南,南,n,un,2,南京,,,n,ʊ̃
241,南,南,n,a,1,南無阿彌陀佛,,,n,a
242,色,色,s,eh,7,顏色,,,s,əʔ
243,光,光,g,uan,1,光亮,,,k,uaŋ
244,門,门,m,en,2,門口,,,m,əŋ
245,即,即,j,ieh,7,即刻,,,tɕ,iəʔ
246,保,保,b,o,3,保安,,,p,ɔ
247,治,治,ch,r,6,治療,,,tʂʰ,ʅ
248,北,北,b,oh,7,北方,,,p,ɔʔ
249,造,造,c,o,6,造化，造就，造福，製造,,,tsʰ,ɔ
250,造,造,c,o,5,造訪，造詣，登峰造極,,,tsʰ,ɔ
251,百,百,b,oh,7,百萬,,,p,ɔʔ
252,規,规,g,uei,1,規矩,,,k,uəi
